ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0043062,extracellular structure organization,141/4355,321/17400,0.4392523364485981,1.7549921134800475,7.888562923122258,7.906918691662638e-14,2.9171606776405436e-10,2.3282095291165326e-10,MMP11/COL11A1/ADAMTS5/IBSP/CAV1/MMP1/COMP/MMP13/CAV2/TNXB/PPARG/MATN3/HAS3/MYH11/ANGPTL7/MATN2/DPT/DDR2/ADAM8/LTBP4/ADAMTS14/P3H4/MIR145/ECM2/VIT/P4HA3/EGFLAM/SULF1/COL6A6/BMP2/APLP1/TGFBR3/CREB3L1/RECK/ANTXR2/MMP10/POSTN/MMP28/KLK4/ADAMTS1/OLFML2A/CRTAP/MMP27/ADAMTSL4/FLRT2/HPSE2/WT1/NPNT/RGCC/COL5A1/ADAMTSL2/COL1A1/ADAMTS20/MMP3/FKBP10/PDGFRA/CARMIL2/HPN/ELANE/MMP14/PRDM5/FAP/PHLDB1/IL6/FBLN5/LRP1/VWA1/MFAP4/SLC2A10/P4HA1/LAMC1/COL5A2/TNR/SULF2/CMA1/NOX1/LOXL1/HAS1/TMPRSS6/DMP1/ADAMTS3/ZNF469/CCN1/TIE1/KAZALD1/PHLDB2/BCL3/MMP9/DDR1/COL12A1/COL6A5/MMP12/GAS2/OLFML2B/COL1A2/CCDC80/LAMA2/AEBP1/TLL1/ADAMTS18/GPM6B/NPHS1/ADAMTS6/FMOD/SCX/MMP25/SPINT2/DPP4/FGFR4/TEX14/ADAMTS19/COL3A1/MMP19/GFAP/SPINT1/EGFL6/COL14A1/ABI3BP/LAMA1/PTX3/SFRP2/SPOCK2/AGT/TCF15/RXFP1/SMPD3/COL4A3/TLL2/MIR27B/NDNF/CTSG/PRSS1/GREM1/PXDNL/MIR205/COL2A1/PRSS2/OPTC/IHH/KLK7/PLG,141
GO:0045229,external encapsulating structure organization,141/4355,322/17400,0.43788819875776397,1.7495418274133392,7.844034343445558,1.0637212054032545e-13,2.9171606776405436e-10,2.3282095291165326e-10,MMP11/COL11A1/ADAMTS5/IBSP/CAV1/MMP1/COMP/MMP13/CAV2/TNXB/PPARG/MATN3/HAS3/MYH11/ANGPTL7/MATN2/DPT/DDR2/ADAM8/LTBP4/ADAMTS14/P3H4/MIR145/ECM2/VIT/P4HA3/EGFLAM/SULF1/COL6A6/BMP2/APLP1/TGFBR3/CREB3L1/RECK/ANTXR2/MMP10/POSTN/MMP28/KLK4/ADAMTS1/OLFML2A/CRTAP/MMP27/ADAMTSL4/FLRT2/HPSE2/WT1/NPNT/RGCC/COL5A1/ADAMTSL2/COL1A1/ADAMTS20/MMP3/FKBP10/PDGFRA/CARMIL2/HPN/ELANE/MMP14/PRDM5/FAP/PHLDB1/IL6/FBLN5/LRP1/VWA1/MFAP4/SLC2A10/P4HA1/LAMC1/COL5A2/TNR/SULF2/CMA1/NOX1/LOXL1/HAS1/TMPRSS6/DMP1/ADAMTS3/ZNF469/CCN1/TIE1/KAZALD1/PHLDB2/BCL3/MMP9/DDR1/COL12A1/COL6A5/MMP12/GAS2/OLFML2B/COL1A2/CCDC80/LAMA2/AEBP1/TLL1/ADAMTS18/GPM6B/NPHS1/ADAMTS6/FMOD/SCX/MMP25/SPINT2/DPP4/FGFR4/ADAMTS19/COL3A1/MMP19/GFAP/SPINT1/EGFL6/COL14A1/ABI3BP/LAMA1/PTX3/SFRP2/SPOCK2/AGT/TCF15/RXFP1/SMPD3/COL4A3/TLL2/MIR27B/NDNF/HRNR/CTSG/PRSS1/GREM1/PXDNL/MIR205/COL2A1/PRSS2/OPTC/IHH/KLK7/PLG,141
GO:0030198,extracellular matrix organization,140/4355,320/17400,0.4375,1.7479908151549943,7.802998133558704,1.4144952372590318e-13,2.9171606776405436e-10,2.3282095291165326e-10,MMP11/COL11A1/ADAMTS5/IBSP/CAV1/MMP1/COMP/MMP13/CAV2/TNXB/PPARG/MATN3/HAS3/MYH11/ANGPTL7/MATN2/DPT/DDR2/ADAM8/LTBP4/ADAMTS14/P3H4/MIR145/ECM2/VIT/P4HA3/EGFLAM/SULF1/COL6A6/BMP2/APLP1/TGFBR3/CREB3L1/RECK/ANTXR2/MMP10/POSTN/MMP28/KLK4/ADAMTS1/OLFML2A/CRTAP/MMP27/ADAMTSL4/FLRT2/HPSE2/WT1/NPNT/RGCC/COL5A1/ADAMTSL2/COL1A1/ADAMTS20/MMP3/FKBP10/PDGFRA/CARMIL2/HPN/ELANE/MMP14/PRDM5/FAP/PHLDB1/IL6/FBLN5/LRP1/VWA1/MFAP4/SLC2A10/P4HA1/LAMC1/COL5A2/TNR/SULF2/CMA1/NOX1/LOXL1/HAS1/TMPRSS6/DMP1/ADAMTS3/ZNF469/CCN1/TIE1/KAZALD1/PHLDB2/BCL3/MMP9/DDR1/COL12A1/COL6A5/MMP12/GAS2/OLFML2B/COL1A2/CCDC80/LAMA2/AEBP1/TLL1/ADAMTS18/GPM6B/NPHS1/ADAMTS6/FMOD/SCX/MMP25/SPINT2/DPP4/FGFR4/ADAMTS19/COL3A1/MMP19/GFAP/SPINT1/EGFL6/COL14A1/ABI3BP/LAMA1/PTX3/SFRP2/SPOCK2/AGT/TCF15/RXFP1/SMPD3/COL4A3/TLL2/MIR27B/NDNF/CTSG/PRSS1/GREM1/PXDNL/MIR205/COL2A1/PRSS2/OPTC/IHH/KLK7/PLG,140
GO:0042391,regulation of membrane potential,187/4355,465/17400,0.4021505376344086,1.6067553053590609,7.66269677850946,2.1944221802638018e-13,3.3942225073230356e-10,2.7089564335835513e-10,CAV1/FHL1/GABRD/KCNIP2/PARP1/NLGN1/NTRK2/HCN2/TRPA1/CDK5/SNCA/CD36/PYCR1/ATP1A2/SLC17A7/SCN4A/DMD/SCN4B/CHRNA6/ADRA1A/HSH2D/ADRB2/FXYD1/MAPK8IP2/RELN/AKAP6/PID1/KCNJ3/PRKN/SCN9A/BAK1/BAX/ABCB5/CLCN2/GRIN2D/IFI6/SCN5A/SCN3A/CACNB3/KCNJ10/SCN3B/TRDN/TACR1/KCNA2/SLC25A27/DCN/RGS7BP/GRIN2B/CDKN2A/ABCC9/INSYN2A/RIMS4/KCNF1/CAV3/KCNK6/CACNA2D1/NPAS4/STX1A/KCNG3/USP53/KCNE4/SCN2B/ATP1A3/ANK2/KCNK1/MET/PMAIP1/KCNH1/KCNJ2/KCNK9/CASQ2/SCN11A/CHRNA9/SLC6A4/P2RX6/NPR2/KCNE1/KCNA4/P2RX5/GRIK1/SLC8A2/SHANK3/KCNB1/OPRD1/MLLT11/CACNA1H/KCNH2/GRIA2/RGS4/SCN2A/CLDN19/BAIAP2/GRIA4/NOS1/KCNH5/MEF2C/KCNJ8/KCNC4/KCNMB2/GABRA4/NTSR1/BIN1/ASIC3/CTNNA3/NPY2R/GPR88/CHRNA2/ACTN2/BOK/DRD4/KCNG1/SLC4A8/GABRA5/KCNIP1/GRIN2C/NETO1/EDN1/RIMS3/ATP1B2/CHRNA5/SLC1A7/RIMS2/RGS7/CACNA1I/CHRNB4/KCNH8/HCN1/KCNA5/CNR2/TBX18/KCNK5/PLN/KCNQ3/CHRNA7/ASIC5/CACNA1D/SLC26A3/SLC24A4/BEGAIN/ABAT/KCTD16/NLGN4X/KCNA1/SLC4A4/AGT/CLCN1/KCNH6/GRIK4/GABRA2/SLC34A1/KCNJ11/KCNA6/GRIA3/NDP/SCN7A/KCNG2/HCN4/CHRNA3/GABRA3/SLC1A6/GRIN1/NRCAM/INSYN1/ADORA2A/P2RX2/ASIC2/GRIN3B/SLC8A3/NRXN1/DRD2/HTR3A/HTR3C/KCNE5/ATP1A4/ADRB1/WNT7A/CUX2/CHRNA4/CHRNB3/MTNR1B/POPDC3/KCNC1/CHRND/GABRA1/UCN3/CHRNG/KCNQ2,187
GO:0006936,muscle contraction,153/4355,362/17400,0.42265193370165743,1.6886667385554166,7.650472671320204,3.306084419606805e-13,4.090948860821461e-10,3.265019371026426e-10,CAV1/COMP/PPP1R12B/KCNIP2/GSN/LMOD1/MYH11/TRPA1/NMUR1/CCDC78/HTR1D/CNN1/ATP1A2/SCN4A/DMD/SCN4B/TNNT1/ADRA1A/ADRB2/FXYD1/CA3/MIR145/EDNRB/SULF1/KCNJ3/MYOCD/OXTR/MYLK/PRKD1/TMOD1/SCN9A/SSPN/MYH1/MYOM2/UTRN/CKMT2/SCN5A/SCN3A/SCN3B/TRDN/SYNM/TACR1/SPX/ABCC9/TNNT3/CAV3/CACNA2D1/KCNE4/SCN2B/ANK2/ACTA2/NPNT/KIT/HTR2A/RYR3/MYL9/KCNJ2/DES/CASQ2/EDN2/CRYAB/SCN11A/JPH2/MYLK2/NMU/MB/P2RX6/MYH3/KCNE1/ADGRD1/REM1/CACNA1H/CACNG1/KCNH2/ARHGAP42/SCN2A/SULF2/CLIC2/GRIP2/NOS1/KCNJ8/JPH3/GSTM2/GATA4/MAP2K6/MYL3/BIN1/ADRA2A/F2R/ATP2B4/CTNNA3/TTN/NPY2R/UCN/TNNI3/HRC/JPH4/KCNIP1/ASPH/EDN1/KBTBD13/CHRNB4/SGCA/STAC3/MYH2/KCNA5/MYL2/PLN/TIFAB/CACNA1D/ATP2A1/GALR2/EDN3/ABAT/MYBPH/KCNA1/RGS2/UTS2/ADRA2B/CLCN1/NKX2-5/TPM2/C10orf71/SCN7A/HCN4/CHRNA3/PTGER3/CALCA/TACR3/MYH6/MYH7B/P2RX2/SLC8A3/TNNC2/DRD2/TBX20/GHSR/KCNE5/LMOD2/ACTC1/ACTN3/ANKRD2/STRIT1/RYR1/CHRM2/TRIM63/MYH8/NMUR2/CHRND/TNNI2/MYL1/CHRNG/ACTA1,153
GO:0006959,humoral immune response,126/4355,287/17400,0.43902439024390244,1.7540813754865447,7.442695817990987,1.7410520205551073e-12,1.7306836540706734e-9,1.3812726210722873e-9,EXO1/CCL11/TSLP/CXCL11/CXCL10/CXCL2/CAMP/H2BC12/MASP1/TOR2A/H2BC6/CXCL9/S100A7/FOXJ1/CCL14/IGHE/CXCL12/H2BC21/H2BC11/H2BC4/IGHG1/CX3CL1/IGHG3/RNASE7/CFD/CFB/H2BC7/CCL16/LTA/CCL24/ELANE/VIP/IL6/CCR7/PTPN6/PDCD1/SERPING1/MASP2/BST1/EVPL/IGHG4/CCL17/CXCL3/C4BPA/MEF2C/RARRES2/CFH/IGHG2/BCL3/GATA3/PGLYRP4/H2BC8/FCMR/SUSD4/ROMO1/C8G/CCL21/CCL20/S100A9/CCL23/PF4/TF/GZMK/CCL7/C4B/C4A/ADM/HPX/CCL13/VSIG4/CCL28/IFNG/MS4A1/IFNB1/C6/CD37/CST9/HLA-DQB1/CCL19/COLEC10/WFDC3/WFDC13/SLC11A1/SH2D1A/PPBP/CCL5/H2BC10/ACOD1/F2/CST9L/JCHAIN/CR2/PRTN3/CTSG/CR1L/CALCA/AZU1/PF4V1/KLK3/TREM1/IGHM/IFNE/NTS/IGHA2/IL36RN/C7/PRSS2/MUC7/PGLYRP3/CCL1/WFDC10B/IGKV3-20/CFHR4/CFHR1/FCN2/ZP4/KNG1/KLK7/CXCL13/FGB/NPY/IFNA8/DEFB126/DEFB118/BPIFA1/WFDC10A,126
GO:0003012,muscle system process,183/4355,462/17400,0.3961038961038961,1.5825965079696422,7.333173877332335,1.958103374574869e-12,1.7306836540706734e-9,1.3812726210722873e-9,CAV1/COMP/EZH2/PPP1R12B/KCNIP2/GSN/LMOD1/PARP1/PPARG/KLF4/ACACB/MYH11/TRPA1/NMUR1/CCDC78/KLF15/HTR1D/GNAI1/CNN1/ATP1A2/LEP/SCN4A/DMD/SCN4B/TNNT1/ADRA1A/ADRB2/FXYD1/CA3/MIR145/GTF2IRD1/EDNRB/SULF1/AKAP6/KCNJ3/MYOCD/OXTR/MYLK/PRKD1/TMOD1/SCN9A/FOXO1/SSPN/MYH1/MYOM2/UTRN/CKMT2/SCN5A/SCN3A/SCN3B/TRDN/SYNM/TACR1/SPX/ABCC9/TNNT3/CAV3/CACNA2D1/KCNE4/SCN2B/ANK2/ACTA2/NPNT/MYOZ2/KIT/HTR2A/RYR3/MYL9/KCNJ2/DES/CASQ2/PI16/EDN2/CRYAB/SCN11A/JPH2/PPARA/MYLK2/NMU/MB/P2RX6/MYH3/KCNE1/IGF1/ADGRD1/REM1/CACNA1H/CACNG1/KCNH2/RGS4/ARHGAP42/SCN2A/SULF2/GATA5/CLIC2/GRIP2/NOS1/KCNJ8/JPH3/GSTM2/GATA4/MAP2K6/MYL3/BIN1/ADRA2A/F2R/ATP2B4/CTNNA3/TTN/NPY2R/PAK1/UCN/TNNI3/NPR3/HRC/JPH4/KCNIP1/SCO2/ASPH/EDN1/KBTBD13/CHRNB4/SGCA/STAC3/NR4A3/MYH2/KCNA5/MYL2/PLN/TIFAB/COL14A1/CACNA1D/ATP2A1/GALR2/EDN3/ABAT/MYBPH/KCNA1/RGS2/TRIM72/AGT/UTS2/ADRA2B/MYOG/CLCN1/NKX2-5/MSTN/TPM2/C10orf71/CERS1/SCN7A/HCN4/CHRNA3/MLIP/PTGER3/CALCA/TACR3/MYH6/MYH7B/P2RX2/SLC8A3/TNNC2/DRD2/TBX20/GHSR/KCNE5/LMOD2/SLN/ACTC1/ACTN3/ANKRD2/STRIT1/RYR1/CHRM2/MYMK/TRIM63/MYH8/NMUR2/CHRND/TNNI2/MYL1/CHRNG/ACTA1,183
GO:0019730,antimicrobial humoral response,83/4355,172/17400,0.48255813953488375,1.9280164472805918,7.067025318434795,3.400458948760845e-11,2.6298299394979184e-8,2.0988885432417268e-8,CCL11/TSLP/CXCL11/CXCL10/CXCL2/CAMP/H2BC12/TOR2A/H2BC6/CXCL9/S100A7/CCL14/IGHE/CXCL12/H2BC21/H2BC11/H2BC4/IGHG1/CX3CL1/IGHG3/RNASE7/H2BC7/CCL16/CCL24/ELANE/VIP/EVPL/IGHG4/CCL17/CXCL3/RARRES2/IGHG2/BCL3/PGLYRP4/H2BC8/ROMO1/CCL21/CCL20/S100A9/CCL23/PF4/TF/CCL7/ADM/CCL13/CCL28/CST9/CCL19/WFDC3/WFDC13/SLC11A1/PPBP/CCL5/H2BC10/ACOD1/F2/CST9L/JCHAIN/PRTN3/CTSG/CALCA/AZU1/PF4V1/KLK3/IGHM/NTS/IGHA2/IL36RN/PRSS2/MUC7/PGLYRP3/CCL1/WFDC10B/IGKV3-20/KNG1/KLK7/CXCL13/FGB/NPY/DEFB126/DEFB118/BPIFA1/WFDC10A,83
GO:0007188,adenylate cyclase-modulating G protein-coupled receptor signaling pathway,115/4355,273/17400,0.42124542124542125,1.6830471480299265,6.572423487687601,3.6194056380267155e-10,2.4881402980523655e-7,1.9858048945009734e-7,PDE2A/GRM4/GPR146/CXCL11/HTR1D/GNAI1/CXCL10/GLP2R/ADRA1A/ADRB2/GPBAR1/ADCYAP1R1/PDE3B/GPR68/GNAL/AKAP12/AVPR2/GRM8/AKAP6/CXCL9/ADGRF5/RAPGEF3/LHCGR/APLP1/P2RY12/ARRDC3/ADM2/PTH1R/CXCL12/SCT/SCTR/ADCY4/GNG2/GALR1/MRAP/FFAR4/PRKAR2B/S1PR1/GRK5/PTGER4/VIP/GPR37L1/OPRD1/ADGRD1/CXCR4/RAMP1/ADGRL3/ADGRF4/LPAR2/ADGRG4/CXCR3/NOS1/ABCA1/MAS1/GABBR2/PTGFR/ADRA2A/SSTR2/GPR18/ATP2B4/NPY2R/GPR88/PALM/HTR4/MARCO/DRD4/AKAP5/CRHR2/PTGDR2/PF4/ADRB3/ADM/EDN1/RIMS2/HTR1E/GRM2/CNR2/PLN/CACNA1D/GPHA2/ADCY8/GALR2/FFAR3/RGS2/RXFP1/GCGR/ADCY1/MCHR1/PSAPL1/GPR171/CCR3/ADGRG3/ADCY5/PTGER3/CALCA/ADORA2A/CALCR/CALCB/MC5R/GRM7/GPR15/GNAT1/DRD2/HTR6/NPY1R/AVP/CNR1/ADRB1/HRH3/HTR1A/CHRM2/CRHR1/UCN3/GHRHR/CHRM4,115
GO:0060078,regulation of postsynaptic membrane potential,73/4355,151/17400,0.48344370860927155,1.9315546566707982,6.642767247683349,4.5904713045271457e-10,2.840124596110945e-7,2.2667264094249306e-7,GABRD/NLGN1/CDK5/SNCA/SLC17A7/CHRNA6/ADRB2/MAPK8IP2/RELN/PRKN/GRIN2D/KCNA2/RGS7BP/GRIN2B/INSYN2A/NPAS4/STX1A/KCNK1/MET/CHRNA9/P2RX6/P2RX5/GRIK1/SLC8A2/SHANK3/GRIA2/RGS4/BAIAP2/GRIA4/NOS1/MEF2C/GABRA4/NTSR1/NPY2R/CHRNA2/DRD4/GABRA5/GRIN2C/NETO1/CHRNA5/SLC1A7/RIMS2/RGS7/CHRNB4/HCN1/CHRNA7/BEGAIN/ABAT/KCTD16/NLGN4X/GRIK4/GABRA2/GRIA3/CHRNA3/GABRA3/GRIN1/INSYN1/ADORA2A/P2RX2/GRIN3B/SLC8A3/NRXN1/DRD2/HTR3A/HTR3C/ADRB1/WNT7A/CUX2/CHRNA4/CHRNB3/CHRND/GABRA1/CHRNG,73
GO:0070588,calcium ion transmembrane transport,133/4355,330/17400,0.403030303030303,1.610270326688237,6.466907441062704,5.495470885564747e-10,3.0909525789990086e-7,2.466914251118108e-7,CAV1/SLC24A2/CACHD1/TRPM3/CXCL11/TRPA1/SNCA/CEMIP/ATP1A2/TMCO1/DMD/CXCL10/MICU3/PKD2/TSPAN13/ADCYAP1R1/EDNRB/TOR2A/TMEM37/AKAP6/ORAI2/CXCL9/PRKD1/PKD1L2/BAK1/BAX/GRIN2D/TMC2/CACNB3/TRDN/TRPC6/GRIN2B/CX3CL1/FGF2/ANO6/ATP2A3/CACNA2D1/PRNP/EPO/ANK2/HTR2A/TMBIM1/RYR3/CASQ2/CAPN3/SCN11A/JPH2/CALHM1/CHRNA9/P2RX6/P2RX5/CCR7/PTPN6/SLC8A2/CACNG5/CACNA1B/REM1/CACNA1H/CACNG1/CATSPER1/MCOLN2/CLIC2/CXCR3/P2RY6/NOS1/KCNJ8/JPH3/CD19/GSTM2/CACNA1E/NTSR1/LIME1/BIN1/CBARP/TRPM1/F2R/ATP2B4/CACNG4/TRPM2/CCL21/AKAP5/SLC25A25/ANO9/BHLHA15/CORO1A/TRPM5/CNGA2/HRC/JPH4/GRIN2C/ASPH/PLCL2/EDN1/PKD1L3/LCK/CACNA1I/CACNA2D2/TRPM6/MS4A1/PLN/GPM6A/CHRNA7/CACNA1D/ATP2A1/CCL19/HAP1/SLC24A4/CCR5/CALHM3/LETM2/PLCH2/F2/DHRS7C/ATP2C2/FASLG/GRIN1/CALCA/P2RX2/CNGA3/GRIN3B/SLC8A3/DRD2/FAIM2/SLC24A5/PPP3R2/SLN/ATP2B3/RYR1/GP9/CRHR1/METTL21C/PANX3/HTR2C,133
GO:0006816,calcium ion transport,162/4355,428/17400,0.37850467289719625,1.5122804382115305,6.200080486253,1.9728252746811742e-9,1.0171558312043689e-6,8.118002950464375e-7,PLPP4/CAV1/SLC24A2/CACHD1/TRPM3/CXCL11/TRPA1/CDK5/SNCA/CEMIP/ATP1A2/TMCO1/DMD/CXCL10/ITPRIPL1/MICU3/PKD2/TSPAN13/ADCYAP1R1/EDNRB/TOR2A/TMEM37/AKAP6/ORAI2/CXCL9/MYLK/PRKD1/PKD1L2/BAK1/BAX/CXCL12/GRIN2D/TMC2/CACNB3/TRDN/TRPC6/GRIN2B/CX3CL1/FGF2/ANO6/CAV3/ATP2A3/CACNA2D1/PRNP/EPO/ANK2/HTR2A/TMBIM1/CDH23/RYR3/CASQ2/CAPN3/SCN11A/JPH2/CALHM1/CHRNA9/P2RX6/EPM2A/P2RX5/CCR7/PTPN6/SLC8A2/CACNG5/OPRD1/CACNA1B/REM1/CACNA1H/CACNG1/SRL/RGS4/RAMP1/CATSPER1/MCOLN2/CLIC2/CXCR3/P2RY6/NOS1/PLCZ1/KCNJ8/JPH3/CD19/GSTM2/CACNA1E/FCRL3/NTSR1/LIME1/BIN1/CBARP/ADRA2A/TRPM1/F2R/ATP2B4/CACNG4/TRPM2/CCL21/CSN2/AKAP5/CYP27B1/UCN/SLC25A25/ANO9/BHLHA15/CORO1A/TRPM5/HOMER3/CNGA2/HRC/JPH4/GRIN2C/ASPH/PLCL2/EDN1/PKD1L3/LCK/CACNA1I/CACNA2D2/TRPM6/MS4A1/PLN/GPM6A/CAMK2A/CHRNA7/CACNA1D/ATP2A1/CCL19/HAP1/SLC24A4/CCR5/CALHM3/LETM2/CCL5/PLCH2/F2/MCHR1/DHRS7C/ATP2C2/FASLG/GRIN1/CALCA/ADORA2A/P2RX2/CNGA3/GRIN3B/EGF/SLC8A3/DRD2/FAIM2/SLC24A5/PPP3R2/SLN/CLCA1/ATP2B3/CHRNA4/EPPIN/STRIT1/SPINK1/RYR1/GP9/CRHR1/METTL21C/PANX3/HTR2C,162
GO:0007411,axon guidance,102/4355,242/17400,0.4214876033057851,1.6840147640690382,6.191188245044321,3.396893967523391e-9,1.6166602290051707e-6,1.2902696033726501e-6,UNC5B/SEMA3G/CDK5/MATN2/ARTN/SLIT3/PLXNA4/LHX2/CELSR3/ROBO3/RELN/ROBO4/PLXNA3/KIFC2/BMPR1B/TUBB3/ABLIM1/NELL2/GBX2/CXCL12/FEZ1/ARHGEF40/LMX1A/SEMA3F/PTPRM/SEMA3D/RET/SEMA7A/CDK5R1/FLRT2/EGR2/CHL1/HOXA2/SEMA3A/EFNA2/EFNA3/DLX5/EVL/SEMA6D/CYFIP2/BOC/IGSF9/EFNA1/DPYSL5/PAX6/MYCBP2/NOVA2/EPHA4/SEMA6A/EPHB1/NEXN/TNR/RAC3/EFNA4/FOXD1/NRP1/PTCH1/EPHA8/PLA2G10/LHX1/GATA3/DRAXIN/SLIT2/SEMA5A/UNC5A/KALRN/NFIB/LAMA2/ERBB2/EPHA10/WNT7B/HMCN2/EDN1/NCAM1/LHX9/NR4A3/SHH/CDK5R2/ROBO2/CNTN5/ARX/PTK7/EDN3/ISL2/FEZF2/NDP/NGFR/FOXG1/TBR1/NRCAM/FGF8/EPHA5/VAX1/NRXN1/POU4F3/UNC5D/SLIT1/EVX1/LHX3/FEZF1/LGI1/NKX2-1,102
GO:0097485,neuron projection guidance,102/4355,243/17400,0.41975308641975306,1.677084662159289,6.141290187726434,4.428023917196557e-9,1.9568702839782216e-6,1.561793999666846e-6,UNC5B/SEMA3G/CDK5/MATN2/ARTN/SLIT3/PLXNA4/LHX2/CELSR3/ROBO3/RELN/ROBO4/PLXNA3/KIFC2/BMPR1B/TUBB3/ABLIM1/NELL2/GBX2/CXCL12/FEZ1/ARHGEF40/LMX1A/SEMA3F/PTPRM/SEMA3D/RET/SEMA7A/CDK5R1/FLRT2/EGR2/CHL1/HOXA2/SEMA3A/EFNA2/EFNA3/DLX5/EVL/SEMA6D/CYFIP2/BOC/IGSF9/EFNA1/DPYSL5/PAX6/MYCBP2/NOVA2/EPHA4/SEMA6A/EPHB1/NEXN/TNR/RAC3/EFNA4/FOXD1/NRP1/PTCH1/EPHA8/PLA2G10/LHX1/GATA3/DRAXIN/SLIT2/SEMA5A/UNC5A/KALRN/NFIB/LAMA2/ERBB2/EPHA10/WNT7B/HMCN2/EDN1/NCAM1/LHX9/NR4A3/SHH/CDK5R2/ROBO2/CNTN5/ARX/PTK7/EDN3/ISL2/FEZF2/NDP/NGFR/FOXG1/TBR1/NRCAM/FGF8/EPHA5/VAX1/NRXN1/POU4F3/UNC5D/SLIT1/EVX1/LHX3/FEZF1/LGI1/NKX2-1,102
GO:1903522,regulation of blood circulation,110/4355,269/17400,0.40892193308550184,1.6338097900545883,6.053100821314572,6.491345670368668e-9,2.677463710838063e-6,2.1369054413824154e-6,CAV1/KCNIP2/HSPB7/SVEP1/TRPA1/ATP1A2/LEP/DMD/SCN4B/ADRA1A/FXYD1/EDNRB/AVPR2/EPAS1/KCNJ3/OXTR/ADM2/SCN5A/CELF2/SCN3B/TRDN/TACR1/SPX/ABCC9/CAV3/ATP2A3/CACNA2D1/KCNE4/SCN2B/ATP1A3/ANK2/THRB/HTR2A/KCNJ2/DES/CASQ2/EDN2/JPH2/ADD3/TH/PTPN1/NMU/KCNE1/SLC8A2/CACNA1H/KCNH2/RGS4/ARHGAP42/GCH1/PER2/CLIC2/NOS1/KCNJ8/JPH3/KCNMB2/GSTM2/AVPR1A/GATA4/MYL3/BIN1/ADRA2A/F2R/ATP2B4/CTNNA3/CORIN/SREBF1/SLC1A1/HOPX/UCN/TNNI3/HRC/JPH4/KCNIP1/ASPH/ADM/EDN1/ATP1B2/HBEGF/HCN1/KCNA5/IRX5/MYL2/TBX18/PLN/CACNA1D/ATP2A1/EDN3/RGS2/AGT/ADRA2B/KCNH6/NKX2-5/HCN4/TACR3/MYH6/MYH7B/ASIC2/AVPR1B/SLC8A3/DRD2/AVP/KCNE5/ADRB1/HTR1A/SMTNL1/ATP2B3/MTNR1B/STRIT1/FGB/CHRM2,110
GO:0008217,regulation of blood pressure,87/4355,200/17400,0.435,1.7380022962112514,6.065165688900979,7.916576833663819e-9,3.061241304367378e-6,2.4432014425471694e-6,NPR1/PPARG/CORO2B/ATP1A2/LEP/KL/HBB/ADRA1A/ADRB2/MME/EDNRB/MANF/AVPR2/OXTR/ADM2/POSTN/TACR1/SPX/ABCC9/ADIPOQ/KCNK6/ACTA2/PCSK5/EDN2/PPARA/PTPN1/NMU/NPR2/GPR37L1/EMILIN2/UTS2B/ARHGAP42/GCH1/PTGS2/CMA1/NOX1/GRIP2/NOS1/MAS1/RARRES2/KCNJ8/AVPR1A/NTSR1/OSTN/F2R/ACVRL1/CORIN/IER3/COL1A2/SGK1/UCN/ACSM3/TNNI3/NPR3/ADRB3/CYP4F12/ADM/EDN1/HSD11B2/NAV2/EDN3/ABAT/FFAR3/AGT/SUCNR1/UTS2/ADRA2B/KLK2/GCGR/MIR27B/CTSG/CALCA/TACR3/MYH6/RASL10B/KLK3/P2RX2/ASIC2/AVPR1B/DRD2/NPY1R/WNK4/AVP/SCNN1G/UMOD/ADRB1/NPY,87
GO:0060047,heart contraction,105/4355,256/17400,0.41015625,1.638741389207807,5.948714747596432,1.1755116272299375e-8,4.27817084568919e-6,3.414442751291416e-6,CAV1/KCNIP2/GSN/HSPB7/ATP1A2/SCN4A/DMD/SCN4B/ADRA1A/FXYD1/EDNRB/EPAS1/KCNJ3/SCN9A/ADM2/SCN5A/CELF2/SCN3A/SCN3B/TRDN/SPX/ABCC9/CAV3/ATP2A3/CACNA2D1/KCNE4/SCN2B/ATP1A3/ANK2/THRB/KCNJ2/DES/CASQ2/EDN2/SCN11A/JPH2/TH/PTPN1/MYLK2/NMU/KCNE1/SLC8A2/CACNA1H/KCNH2/RGS4/GCH1/SCN2A/CLIC2/NOS1/KCNJ8/JPH3/GSTM2/AVPR1A/GATA4/MAP2K6/SGCZ/MYL3/BIN1/ATP2B4/CTNNA3/TTN/CORIN/SREBF1/SLC1A1/HOPX/UCN/TNNI3/HRC/JPH4/KCNIP1/ASPH/ADM/EDN1/ATP1B2/SGCG/HBEGF/HCN1/KCNA5/IRX5/MYL2/TBX18/PLN/CACNA1D/ATP2A1/EDN3/RGS2/AGT/KCNH6/NKX2-5/MYL7/C10orf71/SCN7A/HCN4/TACR3/MYH6/MYH7B/SLC8A3/DRD2/KCNE5/ADRB1/ATP2B3/ACTC1/STRIT1/CHRM2/TNNI2,105
